CD_STATION,CD_PARAMETRE,NBANASPERTS1,MA_MOY,NBQUANTIF,NORME_DCE,LB_PARAMETRE
06262X0007/F,1083,1,"0,025",0,"0,1",Chlorpyriphos-éthyl
06262X0007/F,1092,1,"0,025",0,"0,1",Prosulfocarbe
06262X0007/F,1094,1,"0,025",0,"0,1",Lambda-cyhalothrine
06262X0007/F,1101,1,"0,015",0,"0,1",Alachlore
06262X0007/F,1102,1,"0,025",0,"0,1",Aldicarbe
06262X0007/F,1103,1,"0,005",0,"0,03",Aldrine
06262X0007/F,1104,1,"0,0275",0,"0,1",Amétryne
06262X0007/F,1105,1,"0,05",0,"0,1",Aminotriazole
06262X0007/F,1107,1,"0,015",0,"0,1",Atrazine
06262X0007/F,1108,1,"0,02",0,"0,1",Atrazine déséthyl
06262X0007/F,1109,1,"0,01",0,"0,1",Atrazine déisopropyl
06262X0007/F,1113,1,"0,025",0,"0,1",Bentazone
06262X0007/F,1125,1,"0,025",0,"0,1",Bromoxynil
06262X0007/F,1129,1,"0,025",0,"0,1",Carbendazime
06262X0007/F,1130,1,"0,025",0,"0,1",Carbofuran
06262X0007/F,1133,1,"0,04",0,"0,1",Chloridazone
06262X0007/F,1136,1,"0,025",0,"0,1",Chlortoluron
06262X0007/F,1137,1,"0,01",0,"0,1",Cyanazine
06262X0007/F,1139,1,"0,025",0,"0,1",Cymoxanil
06262X0007/F,1140,1,"0,05",0,"0,1",Cyperméthrine
06262X0007/F,1141,1,"0,025",0,"0,1","2,4-D"
06262X0007/F,1142,1,"0,025",0,"0,1","2,4-DB"
06262X0007/F,1146,1,"0,005",0,"0,1",DDE 44'
06262X0007/F,1147,1,"0,005",0,"0,1",DDT 24'
06262X0007/F,1148,1,"0,01",0,"0,1",DDT 44'
06262X0007/F,1149,1,"0,05",0,"0,1",Deltaméthrine
06262X0007/F,1155,1,"0,01",0,"0,1",Desmétryne
06262X0007/F,1157,1,"0,01",0,"0,1",Diazinon
06262X0007/F,1169,1,"0,025",0,"0,1",Dichlorprop
06262X0007/F,1170,1,"0,005",0,"0,1",Dichlorvos
06262X0007/F,1173,1,"0,005",0,"0,03",Dieldrine
06262X0007/F,1175,1,"0,01",0,"0,1",Diméthoate
06262X0007/F,1176,1,"0,025",0,"0,1",Dinoterbe
06262X0007/F,1177,1,"0,025",0,"0,1",Diuron
06262X0007/F,1178,1,"0,01",0,"0,1",Endosulfan alpha
06262X0007/F,1179,1,"0,025",0,"0,1",Endosulfan bêta
06262X0007/F,1181,1,"0,01",0,"0,1",Endrine
06262X0007/F,1184,1,"0,0175",0,"0,1",Ethofumésate
06262X0007/F,1187,1,"0,01",0,"0,1",Fénitrothion
06262X0007/F,1189,1,"0,01",0,"0,1",Fenpropimorphe
06262X0007/F,1190,1,"0,005",0,"0,1",Fenthion
06262X0007/F,1192,1,"0,05",0,"0,1",Folpel
06262X0007/F,1194,1,"0,025",0,"0,1",Flusilazole
06262X0007/F,1197,1,"0,01",0,"0,03",Heptachlore
06262X0007/F,1200,1,"0,01",0,"0,1",Hexachlorocyclohexane alpha
06262X0007/F,1201,1,"0,005",0,"0,1",Hexachlorocyclohexane bêta
06262X0007/F,1202,1,"0,0175",0,"0,1",Hexachlorocyclohexane delta
06262X0007/F,1203,1,"0,01",0,"0,1",Hexachlorocyclohexane gamma
06262X0007/F,1205,1,"0,025",0,"0,1",Ioxynil
06262X0007/F,1206,1,"0,01",0,"0,1",Iprodione
06262X0007/F,1207,1,"0,025",0,"0,1",Isodrine
06262X0007/F,1208,1,"0,025",0,"0,1",Isoproturon
